Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,67.849998,67.970001,66.050003,66.300003,59.132244,1345800
2005-01-04,66.500000,66.650002,64.519997,64.620003,57.633873,1485600
2005-01-05,64.620003,64.919998,63.450001,63.500000,56.634945,1372200
2005-01-06,63.830002,64.489998,63.570000,63.810001,56.911449,1541200
2005-01-07,64.050003,64.050003,63.049999,63.110001,56.287117,620700
2005-01-10,63.150002,64.489998,63.150002,63.740002,56.849018,1873300
2005-01-11,63.500000,63.520000,62.759998,63.020000,56.206844,1058700
2005-01-12,63.200001,63.419998,62.220001,63.110001,56.287117,1286500
2005-01-13,63.250000,63.700001,62.730000,63.040001,56.224674,909300
2005-01-14,63.299999,63.880001,63.180000,63.810001,56.911449,1949500
2005-01-18,63.700001,64.760002,63.389999,64.660004,57.669571,2734600
2005-01-19,64.550003,64.669998,63.500000,63.619999,56.741982,1150900
2005-01-20,63.000000,63.669998,62.900002,63.080002,56.260353,1103300
2005-01-21,63.349998,63.689999,62.730000,62.959999,56.153316,904200
2005-01-24,63.049999,63.349998,61.980000,62.099998,55.386307,2398800
2005-01-25,62.509998,63.080002,62.119999,62.299999,55.564686,1239600
2005-01-26,62.849998,63.610001,62.650002,63.540001,56.670631,1114200
2005-01-27,63.549999,64.160004,63.340000,63.799999,56.902519,826700
2005-01-28,63.950001,63.950001,62.750000,63.529999,56.661705,1379300
2005-01-31,63.340000,64.529999,63.340000,64.400002,57.437653,1223500
2005-02-01,64.500000,65.019997,64.339996,64.849998,57.838997,1403700
2005-02-02,65.050003,65.370003,64.809998,65.279999,58.222527,1256800
2005-02-03,65.199997,65.199997,64.510002,65.029999,57.999554,1128400
2005-02-04,64.680000,65.940002,64.650002,65.820000,58.704113,2027000
2005-02-07,66.050003,66.290001,65.550003,65.949997,58.820080,642200
2005-02-08,65.849998,66.250000,65.769997,65.930000,58.802231,736000
2005-02-09,66.000000,66.300003,64.360001,64.360001,57.401978,1369600
2005-02-10,64.500000,64.790001,64.000000,64.500000,57.526848,1517400
2005-02-11,64.400002,65.629997,63.959999,65.580002,58.490086,1408500
2005-02-14,65.400002,65.730003,65.110001,65.540001,58.454403,1074400
2005-02-15,65.540001,66.000000,65.160004,65.529999,58.445496,681600
2005-02-16,65.349998,66.169998,65.239998,65.879997,58.757633,597700
2005-02-17,66.000000,66.089996,64.919998,65.029999,57.999554,1111800
2005-02-18,65.040001,65.430000,64.699997,64.900002,57.883587,868700
2005-02-22,64.449997,65.080002,63.650002,63.700001,56.813343,1159000
